id,application_date,segment,case_count
1,2019-07-06,1,2471
2,2019-07-07,1,1560
3,2019-07-08,1,3615
4,2019-07-09,1,3124
5,2019-07-10,1,3391
6,2019-07-11,1,3142
7,2019-07-12,1,3091
8,2019-07-13,1,2752
9,2019-07-14,1,1635
10,2019-07-15,1,3668
11,2019-07-16,1,2998
12,2019-07-17,1,3276
13,2019-07-18,1,3033
14,2019-07-19,1,2997
15,2019-07-20,1,2343
16,2019-07-21,1,1342
17,2019-07-22,1,3555
18,2019-07-23,1,2870
19,2019-07-24,1,3206
20,2019-07-25,1,2966
21,2019-07-26,1,2903
22,2019-07-27,1,2327
23,2019-07-28,1,1353
24,2019-07-29,1,3753
25,2019-07-30,1,3077
26,2019-07-31,1,6538
27,2019-08-01,1,1979
28,2019-08-02,1,1877
29,2019-08-03,1,2759
30,2019-08-04,1,1675
31,2019-08-05,1,3949
32,2019-08-06,1,3200
33,2019-08-07,1,3527
34,2019-08-08,1,3274
35,2019-08-09,1,3480
36,2019-08-10,1,2741
37,2019-08-11,1,1750
38,2019-08-12,1,4034
39,2019-08-13,1,3705
40,2019-08-14,1,3798
41,2019-08-15,1,3022
42,2019-08-16,1,3536
43,2019-08-17,1,2934
44,2019-08-18,1,1789
45,2019-08-19,1,4111
46,2019-08-20,1,3605
47,2019-08-21,1,3822
48,2019-08-22,1,3423
49,2019-08-23,1,3516
50,2019-08-24,1,2892
51,2019-08-25,1,2072
52,2019-08-26,1,3772
53,2019-08-27,1,3398
54,2019-08-28,1,3680
55,2019-08-29,1,3656
56,2019-08-30,1,3712
57,2019-08-31,1,9276
58,2019-09-01,1,962
59,2019-09-02,1,2423
60,2019-09-03,1,3240
61,2019-09-04,1,3373
62,2019-09-05,1,3071
63,2019-09-06,1,3180
64,2019-09-07,1,2791
65,2019-09-08,1,1741
66,2019-09-09,1,3587
67,2019-09-10,1,3033
68,2019-09-11,1,4022
69,2019-09-12,1,4010
70,2019-09-13,1,3920
71,2019-09-14,1,3405
72,2019-09-15,1,2448
73,2019-09-16,1,3965
74,2019-09-17,1,3644
75,2019-09-18,1,3826
76,2019-09-19,1,3694
77,2019-09-20,1,3455
78,2019-09-21,1,2830
79,2019-09-22,1,2144
80,2019-09-23,1,3764
81,2019-09-24,1,3481
82,2019-09-25,1,3805
83,2019-09-26,1,3522
84,2019-09-27,1,3516
85,2019-09-28,1,3298
86,2019-09-29,1,2237
87,2019-09-30,1,7635
88,2019-07-24,2,30265
89,2019-07-25,2,28818
90,2019-07-26,2,26417
91,2019-07-27,2,24892
92,2019-07-28,2,18125
93,2019-07-29,2,15634
94,2019-07-30,2,6126
95,2019-07-31,2,2616
96,2019-08-01,2,10063
97,2019-08-02,2,10123
98,2019-08-03,2,7994
99,2019-08-04,2,5686
100,2019-08-05,2,6779
101,2019-08-06,2,7077
102,2019-08-07,2,6916
103,2019-08-08,2,6992
104,2019-08-09,2,7575
105,2019-08-10,2,5830
106,2019-08-11,2,7014
107,2019-08-12,2,30480
108,2019-08-13,2,33611
109,2019-08-14,2,30708
110,2019-08-15,2,28419
111,2019-08-16,2,32686
112,2019-08-17,2,34271
113,2019-08-18,2,19637
114,2019-08-19,2,34558
115,2019-08-20,2,34777
116,2019-08-21,2,30856
117,2019-08-22,2,29778
118,2019-08-23,2,28457
119,2019-08-24,2,25974
120,2019-08-25,2,19010
121,2019-08-26,2,22175
122,2019-08-27,2,25105
123,2019-08-28,2,23616
124,2019-08-29,2,18086
125,2019-08-30,2,7195
126,2019-08-31,2,1840
127,2019-09-01,2,5734
128,2019-09-02,2,7564
129,2019-09-03,2,6977
130,2019-09-04,2,6634
131,2019-09-05,2,6352
132,2019-09-06,2,6824
133,2019-09-07,2,6179
134,2019-09-08,2,6061
135,2019-09-09,2,7733
136,2019-09-10,2,10388
137,2019-09-11,2,18591
138,2019-09-12,2,24604
139,2019-09-13,2,27789
140,2019-09-14,2,28817
141,2019-09-15,2,18320
142,2019-09-16,2,30502
143,2019-09-17,2,32076
144,2019-09-18,2,30351
145,2019-09-19,2,32135
146,2019-09-20,2,32547
147,2019-09-21,2,32087
148,2019-09-22,2,19484
149,2019-09-23,2,28337
150,2019-09-24,2,29667
151,2019-09-25,2,29266
152,2019-09-26,2,27816
153,2019-09-27,2,23931
154,2019-09-28,2,17654
155,2019-09-29,2,5621
156,2019-09-30,2,2508
157,2019-10-01,2,8164
158,2019-10-02,2,7484
159,2019-10-03,2,6683
160,2019-10-04,2,7087
161,2019-10-05,2,6495
162,2019-10-06,2,5630
163,2019-10-07,2,6441
164,2019-10-08,2,7206
165,2019-10-09,2,8165
166,2019-10-10,2,11853
167,2019-10-11,2,23626
168,2019-10-12,2,30988
169,2019-10-13,2,20305
170,2019-10-14,2,29257
171,2019-10-15,2,28352
172,2019-10-16,2,26682
173,2019-10-17,2,20987
174,2019-10-18,2,16693
175,2019-10-19,2,17771
176,2019-10-20,2,15937
177,2019-10-21,2,24102
178,2019-10-22,2,29179
179,2019-10-23,2,30620
180,2019-10-24,2,30523
