id,application_date,segment,case_count
1,2019-07-06,1,2413.477067036103
2,2019-07-07,1,1697.348985774169
3,2019-07-08,1,3456.563900896376
4,2019-07-09,1,3251.0557556678273
5,2019-07-10,1,2677.306688580037
6,2019-07-11,1,3339.7831154764735
7,2019-07-12,1,3881.474273672131
8,2019-07-13,1,3468.8922670578268
9,2019-07-14,1,1913.4965092586633
10,2019-07-15,1,4252.120471928827
11,2019-07-16,1,4036.6056800737033
12,2019-07-17,1,4036.6056800737033
13,2019-07-18,1,4006.6195546134013
14,2019-07-19,1,4006.6195546134013
15,2019-07-20,1,3594.037547999097
16,2019-07-21,1,2286.584136816569
17,2019-07-22,1,3894.5530901649286
18,2019-07-23,1,3749.4918461400403
19,2019-07-24,1,3749.4918461400403
20,2019-07-25,1,3475.3444906334485
21,2019-07-26,1,3475.3444906334485
22,2019-07-27,1,2940.475633079916
23,2019-07-28,1,1712.9213799753454
24,2019-07-29,1,3512.0752388300857
25,2019-07-30,1,2970.3780098290063
26,2019-07-31,1,7686.155737924836
27,2019-08-01,1,1921.9339389534512
28,2019-08-02,1,1986.2223833124303
29,2019-08-03,1,2261.5103815791226
30,2019-08-04,1,1801.2958748364824
31,2019-08-05,1,3456.563900896376
32,2019-08-06,1,3241.049109041253
33,2019-08-07,1,3241.049109041253
34,2019-08-08,1,3097.346689262654
35,2019-08-09,1,3107.353335889228
36,2019-08-10,1,2234.7385565054315
37,2019-08-11,1,1687.888829544395
38,2019-08-12,1,4084.3332606188105
39,2019-08-13,1,3868.8184687636863
40,2019-08-14,1,3868.8184687636863
41,2019-08-15,1,3569.949076453874
42,2019-08-16,1,3659.8734420565142
43,2019-08-17,1,3247.2914354422105
44,2019-08-18,1,2286.584136816569
45,2019-08-19,1,3860.479018033851
46,2019-08-20,1,3715.4177740089626
47,2019-08-21,1,3715.4177740089626
48,2019-08-22,1,3667.201081464509
49,2019-08-23,1,3667.201081464509
50,2019-08-24,1,3980.222247854165
51,2019-08-25,1,2754.8225472267786
52,2019-08-26,1,4346.513786400919
53,2019-08-27,1,4304.35056288173
54,2019-08-28,1,4164.2321656368995
55,2019-08-29,1,4134.2460401765975
56,2019-08-30,1,3811.3116695094845
57,2019-08-31,1,7743.912772367469
58,2019-09-01,1,1960.7563554983155
59,2019-09-02,1,2958.4879236293223
60,2019-09-03,1,3567.416233290867
61,2019-09-04,1,4111.968894182032
62,2019-09-05,1,3968.266474403433
63,2019-09-06,1,3968.266474403433
64,2019-09-07,1,3254.562812134853
65,2019-09-08,1,2573.1397619490117
66,2019-09-09,1,4337.4903326637295
67,2019-09-10,1,3474.5248594117397
68,2019-09-11,1,4256.820967870361
69,2019-09-12,1,4109.291480827514
70,2019-09-13,1,4109.291480827514
71,2019-09-14,1,3740.5770484802574
72,2019-09-15,1,2947.1648490659404
73,2019-09-16,1,4566.845810623872
74,2019-09-17,1,4788.980980298263
75,2019-09-18,1,5017.861396483452
76,2019-09-19,1,4987.87527102315
77,2019-09-20,1,4966.600441028857
78,2019-09-21,1,4597.8860086815985
79,2019-09-22,1,2959.1510632046197
80,2019-09-23,1,4804.612461642066
81,2019-09-24,1,4503.066098012484
82,2019-09-25,1,4402.078486499744
83,2019-09-26,1,4372.092361039442
84,2019-09-27,1,4427.26340380404
85,2019-09-28,1,3692.5074550227196
86,2019-09-29,1,2612.6272887222926
87,2019-09-30,1,7868.404597617512
88,2019-07-24,2,26537.004550698097
89,2019-07-25,2,25442.36817548162
90,2019-07-26,2,23591.036326234294
91,2019-07-27,2,21410.64348309257
92,2019-07-28,2,15955.886668065812
93,2019-07-29,2,10225.193775206442
94,2019-07-30,2,5275.756388009643
95,2019-07-31,2,2552.6588912375814
96,2019-08-01,2,5892.114404375006
97,2019-08-02,2,6261.155333996176
98,2019-08-03,2,5192.861156896898
99,2019-08-04,2,3468.335088785603
100,2019-08-05,2,4322.250625383849
101,2019-08-06,2,4461.992622226885
102,2019-08-07,2,4762.032371459128
103,2019-08-08,2,4520.234129943084
104,2019-08-09,2,4709.666109991136
105,2019-08-10,2,6350.261916885894
106,2019-08-11,2,11744.408471886285
107,2019-08-12,2,25382.12726048394
108,2019-08-13,2,29072.878315484
109,2019-08-14,2,28960.06822505913
110,2019-08-15,2,28560.109928868922
111,2019-08-16,2,29665.438892586077
112,2019-08-17,2,29839.45961452673
113,2019-08-18,2,17590.08930439855
114,2019-08-19,2,30095.98568652198
115,2019-08-20,2,29638.32931103303
116,2019-08-21,2,29146.6642295247
117,2019-08-22,2,28442.837310568786
118,2019-08-23,2,25770.730123686782
119,2019-08-24,2,23445.22581756628
120,2019-08-25,2,18714.727774502997
121,2019-08-26,2,22901.01673746548
122,2019-08-27,2,22867.87755622485
123,2019-08-28,2,20796.02053840074
124,2019-08-29,2,10898.84874659874
125,2019-08-30,2,5423.2545906235055
126,2019-08-31,2,2428.878856381778
127,2019-09-01,2,3037.038551506663
128,2019-09-02,2,5900.204106209853
129,2019-09-03,2,4860.412854147021
130,2019-09-04,2,4654.424017659239
131,2019-09-05,2,4654.424017659239
132,2019-09-06,2,4554.822811652149
133,2019-09-07,2,4524.556204188385
134,2019-09-08,2,2921.623829153106
135,2019-09-09,2,5012.278552995878
136,2019-09-10,2,7650.339178595066
137,2019-09-11,2,18346.943097614392
138,2019-09-12,2,24190.690134052333
139,2019-09-13,2,27040.361684740146
140,2019-09-14,2,26883.890894886914
141,2019-09-15,2,16295.402972406455
142,2019-09-16,2,28826.335084308455
143,2019-09-17,2,29587.043458349774
144,2019-09-18,2,29848.55650460005
145,2019-09-19,2,29936.898609406253
146,2019-09-20,2,29244.364360297346
147,2019-09-21,2,29322.122204273805
148,2019-09-22,2,15809.007953894505
149,2019-09-23,2,26509.144796079683
150,2019-09-24,2,26103.24797140918
151,2019-09-25,2,25898.31737673105
152,2019-09-26,2,25290.75717394091
153,2019-09-27,2,21487.135385195645
154,2019-09-28,2,12488.62811924894
155,2019-09-29,2,3325.8720342957
156,2019-09-30,2,2522.3556505170586
157,2019-10-01,2,5712.901329621121
158,2019-10-02,2,6456.4319055032665
159,2019-10-03,2,5145.661616488228
160,2019-10-04,2,4960.5973863629815
161,2019-10-05,2,4715.763958403843
162,2019-10-06,2,3300.1035312998474
163,2019-10-07,2,4902.218150905041
164,2019-10-08,2,5398.653821488351
165,2019-10-09,2,6732.484963975082
166,2019-10-10,2,8880.294912322684
167,2019-10-11,2,19262.41814833105
168,2019-10-12,2,25899.793287048324
169,2019-10-13,2,16394.120065092855
170,2019-10-14,2,24018.721637698032
171,2019-10-15,2,24018.120315427746
172,2019-10-16,2,24541.16775409997
173,2019-10-17,2,22686.65147304399
174,2019-10-18,2,21907.31954258323
175,2019-10-19,2,21742.54923464561
176,2019-10-20,2,15544.732634704771
177,2019-10-21,2,23128.765788488978
178,2019-10-22,2,25607.729169699585
179,2019-10-23,2,27404.023878021555
180,2019-10-24,2,26779.134741593924
