id,application_date,segment,case_count
1,2019-07-06,1,2365
2,2019-07-07,1,1363
3,2019-07-08,1,3989
4,2019-07-09,1,3262
5,2019-07-10,1,3525
6,2019-07-11,1,3300
7,2019-07-12,1,3519
8,2019-07-13,1,2705
9,2019-07-14,1,1601
10,2019-07-15,1,3878
11,2019-07-16,1,3178
12,2019-07-17,1,3309
13,2019-07-18,1,3185
14,2019-07-19,1,3336
15,2019-07-20,1,2276
16,2019-07-21,1,1112
17,2019-07-22,1,3690
18,2019-07-23,1,2958
19,2019-07-24,1,3222
20,2019-07-25,1,3125
21,2019-07-26,1,3213
22,2019-07-27,1,2322
23,2019-07-28,1,1166
24,2019-07-29,1,3912
25,2019-07-30,1,3014
26,2019-07-31,1,8693
27,2019-08-01,1,403
28,2019-08-02,1,968
29,2019-08-03,1,3103
30,2019-08-04,1,1665
31,2019-08-05,1,4591
32,2019-08-06,1,3371
33,2019-08-07,1,3753
34,2019-08-08,1,3602
35,2019-08-09,1,3730
36,2019-08-10,1,2635
37,2019-08-11,1,1619
38,2019-08-12,1,4464
39,2019-08-13,1,3784
40,2019-08-14,1,3712
41,2019-08-15,1,3396
42,2019-08-16,1,3604
43,2019-08-17,1,2720
44,2019-08-18,1,1563
45,2019-08-19,1,4077
46,2019-08-20,1,3432
47,2019-08-21,1,3591
48,2019-08-22,1,3415
49,2019-08-23,1,3677
50,2019-08-24,1,3063
51,2019-08-25,1,2441
52,2019-08-26,1,3589
53,2019-08-27,1,3426
54,2019-08-28,1,3816
55,2019-08-29,1,3685
56,2019-08-30,1,4048
57,2019-08-31,1,10700
58,2019-09-01,1,49
59,2019-09-02,1,799
60,2019-09-03,1,2927
61,2019-09-04,1,3105
62,2019-09-05,1,3586
63,2019-09-06,1,3196
64,2019-09-07,1,2855
65,2019-09-08,1,2040
66,2019-09-09,1,3321
67,2019-09-10,1,3245
68,2019-09-11,1,3917
69,2019-09-12,1,3859
70,2019-09-13,1,3809
71,2019-09-14,1,3080
72,2019-09-15,1,2177
73,2019-09-16,1,3716
74,2019-09-17,1,3519
75,2019-09-18,1,3265
76,2019-09-19,1,3309
77,2019-09-20,1,3028
78,2019-09-21,1,2519
79,2019-09-22,1,1765
80,2019-09-23,1,3059
81,2019-09-24,1,2996
82,2019-09-25,1,3594
83,2019-09-26,1,3178
84,2019-09-27,1,3278
85,2019-09-28,1,2943
86,2019-09-29,1,1682
87,2019-09-30,1,10031
88,2019-07-24,2,27395
89,2019-07-25,2,26568
90,2019-07-26,2,23910
91,2019-07-27,2,21964
92,2019-07-28,2,15446
93,2019-07-29,2,14175
94,2019-07-30,2,6142
95,2019-07-31,2,2116
96,2019-08-01,2,8328
97,2019-08-02,2,7875
98,2019-08-03,2,5883
99,2019-08-04,2,2734
100,2019-08-05,2,4136
101,2019-08-06,2,4284
102,2019-08-07,2,4511
103,2019-08-08,2,4090
104,2019-08-09,2,4289
105,2019-08-10,2,4646
106,2019-08-11,2,7097
107,2019-08-12,2,26679
108,2019-08-13,2,30178
109,2019-08-14,2,28435
110,2019-08-15,2,26807
111,2019-08-16,2,29301
112,2019-08-17,2,29911
113,2019-08-18,2,16338
114,2019-08-19,2,31053
115,2019-08-20,2,32367
116,2019-08-21,2,29824
117,2019-08-22,2,28375
118,2019-08-23,2,25043
119,2019-08-24,2,21904
120,2019-08-25,2,16477
121,2019-08-26,2,20552
122,2019-08-27,2,24056
123,2019-08-28,2,21082
124,2019-08-29,2,16157
125,2019-08-30,2,7061
126,2019-08-31,2,1852
127,2019-09-01,2,3375
128,2019-09-02,2,6814
129,2019-09-03,2,6255
130,2019-09-04,2,5109
131,2019-09-05,2,4339
132,2019-09-06,2,4218
133,2019-09-07,2,4155
134,2019-09-08,2,2078
135,2019-09-09,2,4480
136,2019-09-10,2,9112
137,2019-09-11,2,17826
138,2019-09-12,2,23289
139,2019-09-13,2,26255
140,2019-09-14,2,27629
141,2019-09-15,2,15673
142,2019-09-16,2,31690
143,2019-09-17,2,32114
144,2019-09-18,2,30116
145,2019-09-19,2,29262
146,2019-09-20,2,30625
147,2019-09-21,2,30343
148,2019-09-22,2,14728
149,2019-09-23,2,27756
150,2019-09-24,2,27305
151,2019-09-25,2,28338
152,2019-09-26,2,27647
153,2019-09-27,2,23626
154,2019-09-28,2,16976
155,2019-09-29,2,3995
156,2019-09-30,2,2400
157,2019-10-01,2,8352
158,2019-10-02,2,7511
159,2019-10-03,2,7166
160,2019-10-04,2,6274
161,2019-10-05,2,5313
162,2019-10-06,2,4118
163,2019-10-07,2,5514
164,2019-10-08,2,6311
165,2019-10-09,2,7162
166,2019-10-10,2,13306
167,2019-10-11,2,22935
168,2019-10-12,2,28947
169,2019-10-13,2,18601
170,2019-10-14,2,27955
171,2019-10-15,2,27026
172,2019-10-16,2,26112
173,2019-10-17,2,22324
174,2019-10-18,2,16845
175,2019-10-19,2,17151
176,2019-10-20,2,13805
177,2019-10-21,2,24811
178,2019-10-22,2,29380
179,2019-10-23,2,30999
180,2019-10-24,2,30736
