id,application_date,segment,case_count
1,2019-07-06,1,2448.148867497271
2,2019-07-07,1,1370.5685843849183
3,2019-07-08,1,3233.3427814575984
4,2019-07-09,1,2847.003456700634
5,2019-07-10,1,2972.801536981389
6,2019-07-11,1,3073.2634306095924
7,2019-07-12,1,2609.200007023391
8,2019-07-13,1,2705.0533744164068
9,2019-07-14,1,1545.4542030130833
10,2019-07-15,1,3294.3639128609866
11,2019-07-16,1,2750.677901375334
12,2019-07-17,1,3346.55846686542
13,2019-07-18,1,3174.3865099316295
14,2019-07-19,1,2631.6013761316194
15,2019-07-20,1,2147.9943709134577
16,2019-07-21,1,1322.2888774683104
17,2019-07-22,1,3322.3788136332573
18,2019-07-23,1,2722.467273530796
19,2019-07-24,1,3047.9208393294143
20,2019-07-25,1,2915.028290598199
21,2019-07-26,1,2620.994877914846
22,2019-07-27,1,2302.3664708911588
23,2019-07-28,1,1345.9969818504683
24,2019-07-29,1,3449.033943599536
25,2019-07-30,1,3016.751116363911
26,2019-07-31,1,5219.164029601244
27,2019-08-01,1,2969.1216909433033
28,2019-08-02,1,1838.6366415907505
29,2019-08-03,1,2634.17679316223
30,2019-08-04,1,1466.2126582321794
31,2019-08-05,1,3272.609442403542
32,2019-08-06,1,3023.420320242397
33,2019-08-07,1,3071.050602094617
34,2019-08-08,1,2978.7945682407462
35,2019-08-09,1,2844.522107584149
36,2019-08-10,1,2170.06269672738
37,2019-08-11,1,1580.2527113438073
38,2019-08-12,1,4144.718263548752
39,2019-08-13,1,3492.144143973994
40,2019-08-14,1,3635.894244891746
41,2019-08-15,1,2976.328803554614
42,2019-08-16,1,3133.5936359278276
43,2019-08-17,1,2747.846305895645
44,2019-08-18,1,1631.984457698273
45,2019-08-19,1,3997.658260057121
46,2019-08-20,1,3384.456401855765
47,2019-08-21,1,3616.230810991133
48,2019-08-22,1,3100.4623115225822
49,2019-08-23,1,3049.347253953674
50,2019-08-24,1,2892.7021011475645
51,2019-08-25,1,1959.0053171346256
52,2019-08-26,1,3615.3407383219273
53,2019-08-27,1,3041.311985337413
54,2019-08-28,1,3326.222474624359
55,2019-08-29,1,3317.005628898555
56,2019-08-30,1,3265.12289682153
57,2019-08-31,1,6326.0511997265785
58,2019-09-01,1,1758.6618196571935
59,2019-09-02,1,2572.0191153220208
60,2019-09-03,1,3820.648548258705
61,2019-09-04,1,3660.6693792439373
62,2019-09-05,1,3322.8409765088536
63,2019-09-06,1,3144.2923846883796
64,2019-09-07,1,2680.956603654501
65,2019-09-08,1,1766.9927755101237
66,2019-09-09,1,2929.711877597523
67,2019-09-10,1,3002.0119754500065
68,2019-09-11,1,4094.1714305564856
69,2019-09-12,1,4250.587956155311
70,2019-09-13,1,3984.081982919387
71,2019-09-14,1,2960.248548508066
72,2019-09-15,1,2370.3641278161404
73,2019-09-16,1,3899.6606027294756
74,2019-09-17,1,3648.985770802001
75,2019-09-18,1,3725.5341144743397
76,2019-09-19,1,3374.6951041783495
77,2019-09-20,1,3203.5963205017943
78,2019-09-21,1,2908.536539813126
79,2019-09-22,1,2334.331775100729
80,2019-09-23,1,3275.053686563202
81,2019-09-24,1,3006.655707595799
82,2019-09-25,1,3326.659302603188
83,2019-09-26,1,3093.9214284254235
84,2019-09-27,1,2902.842971529189
85,2019-09-28,1,2977.3993811584774
86,2019-09-29,1,2443.37873865973
87,2019-09-30,1,5990.95627266554
88,2019-07-24,2,27734.08868926592
89,2019-07-25,2,25955.72620108469
90,2019-07-26,2,25022.139494865118
91,2019-07-27,2,21914.289331997366
92,2019-07-28,2,16598.173317015546
93,2019-07-29,2,16648.843365960896
94,2019-07-30,2,7643.370712504381
95,2019-07-31,2,1982.2845425752987
96,2019-08-01,2,6973.055833383688
97,2019-08-02,2,6721.534612071899
98,2019-08-03,2,5148.969964182444
99,2019-08-04,2,3734.350777082798
100,2019-08-05,2,3316.291714387508
101,2019-08-06,2,3280.968472517179
102,2019-08-07,2,3459.739314768042
103,2019-08-08,2,3759.9961888326725
104,2019-08-09,2,3986.55596627739
105,2019-08-10,2,5369.762307557207
106,2019-08-11,2,11216.451704257406
107,2019-08-12,2,24806.250499497153
108,2019-08-13,2,28457.886986736128
109,2019-08-14,2,27142.00697161554
110,2019-08-15,2,26876.257055214148
111,2019-08-16,2,27690.373259451975
112,2019-08-17,2,27396.81592720843
113,2019-08-18,2,14009.488669403696
114,2019-08-19,2,28343.90710184802
115,2019-08-20,2,28676.988293962408
116,2019-08-21,2,27905.794955568228
117,2019-08-22,2,27339.278708546557
118,2019-08-23,2,26989.305801778843
119,2019-08-24,2,24557.929797450033
120,2019-08-25,2,13708.30552497185
121,2019-08-26,2,23958.009996616966
122,2019-08-27,2,23418.59479606429
123,2019-08-28,2,20268.477845490615
124,2019-08-29,2,17731.365991050203
125,2019-08-30,2,7490.955983744043
