id,application_date,segment,case_count
1,2019-07-06,1,1307
2,2019-07-07,1,748
3,2019-07-08,1,2868
4,2019-07-09,1,2144
5,2019-07-10,1,3472
6,2019-07-11,1,3085
7,2019-07-12,1,2931
8,2019-07-13,1,2632
9,2019-07-14,1,1412
10,2019-07-15,1,3442
11,2019-07-16,1,2769
12,2019-07-17,1,3154
13,2019-07-18,1,2788
14,2019-07-19,1,2751
15,2019-07-20,1,2350
16,2019-07-21,1,1102
17,2019-07-22,1,3516
18,2019-07-23,1,2742
19,2019-07-24,1,3062
20,2019-07-25,1,2780
21,2019-07-26,1,2737
22,2019-07-27,1,2351
23,2019-07-28,1,1209
24,2019-07-29,1,3530
25,2019-07-30,1,2993
26,2019-07-31,1,7456
27,2019-08-01,1,949
28,2019-08-02,1,1353
29,2019-08-03,1,2709
30,2019-08-04,1,1144
31,2019-08-05,1,3397
32,2019-08-06,1,2886
33,2019-08-07,1,3283
34,2019-08-08,1,2802
35,2019-08-09,1,2701
36,2019-08-10,1,2735
37,2019-08-11,1,1500
38,2019-08-12,1,3941
39,2019-08-13,1,3404
40,2019-08-14,1,3443
41,2019-08-15,1,3052
42,2019-08-16,1,3103
43,2019-08-17,1,2749
44,2019-08-18,1,1811
45,2019-08-19,1,4185
46,2019-08-20,1,3633
47,2019-08-21,1,3884
48,2019-08-22,1,3659
49,2019-08-23,1,3772
50,2019-08-24,1,3964
51,2019-08-25,1,3185
52,2019-08-26,1,5074
53,2019-08-27,1,4713
54,2019-08-28,1,5233
55,2019-08-29,1,4941
56,2019-08-30,1,5025
57,2019-08-31,1,8394
58,2019-09-01,1,928
59,2019-09-02,1,1574
60,2019-09-03,1,5004
61,2019-09-04,1,6071
62,2019-09-05,1,5528
63,2019-09-06,1,5370
64,2019-09-07,1,4835
65,2019-09-08,1,4496
66,2019-09-09,1,5627
67,2019-09-10,1,4452
68,2019-09-11,1,4962
69,2019-09-12,1,4732
70,2019-09-13,1,4837
71,2019-09-14,1,4139
72,2019-09-15,1,4126
73,2019-09-16,1,5192
74,2019-09-17,1,5049
75,2019-09-18,1,4941
76,2019-09-19,1,4607
77,2019-09-20,1,4662
78,2019-09-21,1,4134
79,2019-09-22,1,3722
80,2019-09-23,1,4840
81,2019-09-24,1,4691
82,2019-09-25,1,4768
83,2019-09-26,1,4741
84,2019-09-27,1,4891
85,2019-09-28,1,4498
86,2019-09-29,1,3752
87,2019-09-30,1,6006
88,2019-07-24,2,27261
89,2019-07-25,2,26005
90,2019-07-26,2,23251
91,2019-07-27,2,21298
92,2019-07-28,2,14699
93,2019-07-29,2,14302
94,2019-07-30,2,6242
95,2019-07-31,2,2073
96,2019-08-01,2,7968
97,2019-08-02,2,7846
98,2019-08-03,2,5003
99,2019-08-04,2,2613
100,2019-08-05,2,3971
101,2019-08-06,2,4128
102,2019-08-07,2,4343
103,2019-08-08,2,4655
104,2019-08-09,2,4946
105,2019-08-10,2,5064
106,2019-08-11,2,7986
107,2019-08-12,2,26709
108,2019-08-13,2,30224
109,2019-08-14,2,29721
110,2019-08-15,2,28311
111,2019-08-16,2,28866
112,2019-08-17,2,28854
113,2019-08-18,2,14673
114,2019-08-19,2,29804
115,2019-08-20,2,30273
116,2019-08-21,2,29123
117,2019-08-22,2,28145
118,2019-08-23,2,25035
119,2019-08-24,2,22316
120,2019-08-25,2,17401
121,2019-08-26,2,21134
122,2019-08-27,2,23005
123,2019-08-28,2,20861
124,2019-08-29,2,15362
125,2019-08-30,2,6023
126,2019-08-31,2,2051
127,2019-09-01,2,3030
128,2019-09-02,2,7098
129,2019-09-03,2,5883
130,2019-09-04,2,5243
131,2019-09-05,2,4655
132,2019-09-06,2,5436
133,2019-09-07,2,5118
134,2019-09-08,2,3020
135,2019-09-09,2,5419
136,2019-09-10,2,8824
137,2019-09-11,2,18820
138,2019-09-12,2,25185
139,2019-09-13,2,26251
140,2019-09-14,2,25919
141,2019-09-15,2,13907
142,2019-09-16,2,29584
143,2019-09-17,2,29968
144,2019-09-18,2,28156
145,2019-09-19,2,28808
146,2019-09-20,2,27535
147,2019-09-21,2,26934
148,2019-09-22,2,14829
149,2019-09-23,2,26569
150,2019-09-24,2,27229
151,2019-09-25,2,27017
152,2019-09-26,2,26442
153,2019-09-27,2,21883
154,2019-09-28,2,15126
155,2019-09-29,2,2714
156,2019-09-30,2,2215
157,2019-10-01,2,7383
158,2019-10-02,2,6638
159,2019-10-03,2,5512
160,2019-10-04,2,5797
161,2019-10-05,2,4416
162,2019-10-06,2,2856
163,2019-10-07,2,4709
164,2019-10-08,2,6010
165,2019-10-09,2,6897
166,2019-10-10,2,10142
167,2019-10-11,2,20574
168,2019-10-12,2,26602
169,2019-10-13,2,16159
170,2019-10-14,2,27357
171,2019-10-15,2,25898
172,2019-10-16,2,26045
173,2019-10-17,2,22780
174,2019-10-18,2,18600
175,2019-10-19,2,17693
176,2019-10-20,2,11491
177,2019-10-21,2,23692
178,2019-10-22,2,29227
179,2019-10-23,2,30423
180,2019-10-24,2,30020
