id,application_date,segment,case_count
1,2019-07-06,1,2938
2,2019-07-07,1,2109
3,2019-07-08,1,3720
4,2019-07-09,1,3278
5,2019-07-10,1,3611
6,2019-07-11,1,3323
7,2019-07-12,1,3636
8,2019-07-13,1,2901
9,2019-07-14,1,2076
10,2019-07-15,1,3689
11,2019-07-16,1,3249
12,2019-07-17,1,3580
13,2019-07-18,1,3290
14,2019-07-19,1,3594
15,2019-07-20,1,2857
16,2019-07-21,1,2026
17,2019-07-22,1,3633
18,2019-07-23,1,3185
19,2019-07-24,1,3510
20,2019-07-25,1,3214
21,2019-07-26,1,3506
22,2019-07-27,1,2774
23,2019-07-28,1,1942
24,2019-07-29,1,3550
25,2019-07-30,1,3107
26,2019-07-31,1,3439
27,2019-08-01,1,3154
28,2019-08-02,1,3455
29,2019-08-03,1,2745
30,2019-08-04,1,1933
31,2019-08-05,1,3565
32,2019-08-06,1,3148
33,2019-08-07,1,3508
34,2019-08-08,1,3254
35,2019-08-09,1,3601
36,2019-08-10,1,2910
37,2019-08-11,1,2133
38,2019-08-12,1,7927
39,2019-08-13,1,3417
40,2019-08-14,1,3810
41,2019-08-15,1,2674
42,2019-08-16,1,4001
43,2019-08-17,1,3301
44,2019-08-18,1,2548
45,2019-08-19,1,4112
46,2019-08-20,1,3868
47,2019-08-21,1,4274
48,2019-08-22,1,4059
49,2019-08-23,1,4522
50,2019-08-24,1,2583
51,2019-08-25,1,3012
52,2019-08-26,1,4687
53,2019-08-27,1,4303
54,2019-08-28,1,4687
55,2019-08-29,1,4445
56,2019-08-30,1,4912
57,2019-08-31,1,4093
58,2019-09-01,1,3293
59,2019-09-02,1,4949
60,2019-09-03,1,4498
61,2019-09-04,1,4835
62,2019-09-05,1,2906
63,2019-09-06,1,4968
64,2019-09-07,1,4093
65,2019-09-08,1,2250
66,2019-09-09,1,4827
67,2019-09-10,1,4608
68,2019-09-11,1,4639
69,2019-09-12,1,4304
70,2019-09-13,1,4655
71,2019-09-14,1,3769
72,2019-09-15,1,2883
73,2019-09-16,1,4433
74,2019-09-17,1,3928
75,2019-09-18,1,4194
76,2019-09-19,1,3839
77,2019-09-20,1,4129
78,2019-09-21,1,3282
79,2019-09-22,1,2394
80,2019-09-23,1,3947
81,2019-09-24,1,3450
82,2019-09-25,1,3731
83,2019-09-26,1,3398
84,2019-09-27,1,3674
85,2019-09-28,1,2902
86,2019-09-29,1,4803
87,2019-09-30,1,6861
88,2019-07-24,2,27459
89,2019-07-25,2,25634
90,2019-07-26,2,24574
91,2019-07-27,2,22468
92,2019-07-28,2,15754
93,2019-07-29,2,15673
94,2019-07-30,2,7564
95,2019-07-31,2,1662
96,2019-08-01,2,6410
97,2019-08-02,2,5945
98,2019-08-03,2,4739
99,2019-08-04,2,4208
100,2019-08-05,2,3588
101,2019-08-06,2,3683
102,2019-08-07,2,3563
103,2019-08-08,2,4055
104,2019-08-09,2,3784
105,2019-08-10,2,4173
106,2019-08-11,2,8321
107,2019-08-12,2,25567
108,2019-08-13,2,29129
109,2019-08-14,2,28122
110,2019-08-15,2,27207
111,2019-08-16,2,28614
112,2019-08-17,2,28460
113,2019-08-18,2,15498
114,2019-08-19,2,28722
115,2019-08-20,2,30221
116,2019-08-21,2,28998
117,2019-08-22,2,27012
118,2019-08-23,2,26065
119,2019-08-24,2,22672
120,2019-08-25,2,12822
121,2019-08-26,2,21215
122,2019-08-27,2,21439
123,2019-08-28,2,20406
124,2019-08-29,2,17875
125,2019-08-30,2,7762
126,2019-08-31,2,1138
127,2019-09-01,2,4587
128,2019-09-02,2,5184
129,2019-09-03,2,4384
130,2019-09-04,2,3962
131,2019-09-05,2,3634
132,2019-09-06,2,3616
133,2019-09-07,2,3961
134,2019-09-08,2,3756
135,2019-09-09,2,4232
136,2019-09-10,2,6441
137,2019-09-11,2,19178
138,2019-09-12,2,22253
139,2019-09-13,2,24989
140,2019-09-14,2,26294
141,2019-09-15,2,12334
142,2019-09-16,2,27489
143,2019-09-17,2,30900
144,2019-09-18,2,30178
145,2019-09-19,2,29986
146,2019-09-20,2,29240
147,2019-09-21,2,28930
148,2019-09-22,2,15025
149,2019-09-23,2,23496
150,2019-09-24,2,26683
151,2019-09-25,2,27367
152,2019-09-26,2,26029
153,2019-09-27,2,22387
154,2019-09-28,2,15745
155,2019-09-29,2,6316
156,2019-09-30,2,1176
157,2019-10-01,2,5838
158,2019-10-02,2,5449
159,2019-10-03,2,4509
160,2019-10-04,2,4484
161,2019-10-05,2,4257
162,2019-10-06,2,3637
163,2019-10-07,2,3772
164,2019-10-08,2,4216
165,2019-10-09,2,4475
166,2019-10-10,2,6193
167,2019-10-11,2,20756
168,2019-10-12,2,28198
169,2019-10-13,2,14957
170,2019-10-14,2,28483
171,2019-10-15,2,28292
172,2019-10-16,2,26818
173,2019-10-17,2,20158
174,2019-10-18,2,15505
175,2019-10-19,2,17385
176,2019-10-20,2,13726
177,2019-10-21,2,22036
178,2019-10-22,2,26092
179,2019-10-23,2,28893
180,2019-10-24,2,30039
