id,application_date,segment,case_count
1,2019-07-06,1,2826
2,2019-07-07,1,1702
3,2019-07-08,1,3847
4,2019-07-09,1,3327
5,2019-07-10,1,3744
6,2019-07-11,1,3428
7,2019-07-12,1,3631
8,2019-07-13,1,2820
9,2019-07-14,1,1692
10,2019-07-15,1,3840
11,2019-07-16,1,3310
12,2019-07-17,1,3719
13,2019-07-18,1,3389
14,2019-07-19,1,3573
15,2019-07-20,1,2749
16,2019-07-21,1,1601
17,2019-07-22,1,3741
18,2019-07-23,1,3195
19,2019-07-24,1,3592
20,2019-07-25,1,3250
21,2019-07-26,1,3411
22,2019-07-27,1,2597
23,2019-07-28,1,1446
24,2019-07-29,1,3598
25,2019-07-30,1,3061
26,2019-07-31,1,3890
27,2019-08-01,1,3153
28,2019-08-02,1,3332
29,2019-08-03,1,2554
30,2019-08-04,1,1434
31,2019-08-05,1,3633
32,2019-08-06,1,3137
33,2019-08-07,1,3597
34,2019-08-08,1,3321
35,2019-08-09,1,3569
36,2019-08-10,1,2816
37,2019-08-11,1,1739
38,2019-08-12,1,7852
39,2019-08-13,1,3535
40,2019-08-14,1,4036
41,2019-08-15,1,2634
42,2019-08-16,1,4121
43,2019-08-17,1,3339
44,2019-08-18,1,2277
45,2019-08-19,1,4548
46,2019-08-20,1,4096
47,2019-08-21,1,4597
48,2019-08-22,1,4346
49,2019-08-23,1,4714
50,2019-08-24,1,3858
51,2019-08-25,1,2766
52,2019-08-26,1,5016
53,2019-08-27,1,4529
54,2019-08-28,1,4996
55,2019-08-29,1,4705
56,2019-08-30,1,5064
57,2019-08-31,1,5135
58,2019-09-01,1,2998
59,2019-09-02,1,5414
60,2019-09-03,1,4688
61,2019-09-04,1,5121
62,2019-09-05,1,3049
63,2019-09-06,1,5130
64,2019-09-07,1,4165
65,2019-09-08,1,1998
66,2019-09-09,1,5210
67,2019-09-10,1,3892
68,2019-09-11,1,5090
69,2019-09-12,1,4757
70,2019-09-13,1,5084
71,2019-09-14,1,4123
72,2019-09-15,1,2960
73,2019-09-16,1,5181
74,2019-09-17,1,4644
75,2019-09-18,1,5078
76,2019-09-19,1,4756
77,2019-09-20,1,5095
78,2019-09-21,1,4144
79,2019-09-22,1,2990
80,2019-09-23,1,5231
81,2019-09-24,1,4705
82,2019-09-25,1,5154
83,2019-09-26,1,4843
84,2019-09-27,1,5205
85,2019-09-28,1,4254
86,2019-09-29,1,3673
87,2019-09-30,1,6582
88,2019-07-24,2,27459
89,2019-07-25,2,25634
90,2019-07-26,2,24574
91,2019-07-27,2,22468
92,2019-07-28,2,15754
93,2019-07-29,2,15673
94,2019-07-30,2,7564
95,2019-07-31,2,1662
96,2019-08-01,2,6410
97,2019-08-02,2,5945
98,2019-08-03,2,4739
99,2019-08-04,2,4208
100,2019-08-05,2,3588
101,2019-08-06,2,3683
102,2019-08-07,2,3563
103,2019-08-08,2,4055
104,2019-08-09,2,3784
105,2019-08-10,2,4173
106,2019-08-11,2,8321
107,2019-08-12,2,25567
108,2019-08-13,2,29129
109,2019-08-14,2,28122
110,2019-08-15,2,27207
111,2019-08-16,2,28614
112,2019-08-17,2,28460
113,2019-08-18,2,15498
114,2019-08-19,2,28722
115,2019-08-20,2,30221
116,2019-08-21,2,28998
117,2019-08-22,2,27012
118,2019-08-23,2,26065
119,2019-08-24,2,22672
120,2019-08-25,2,12822
121,2019-08-26,2,21215
122,2019-08-27,2,21439
123,2019-08-28,2,20406
124,2019-08-29,2,17875
125,2019-08-30,2,7762
126,2019-08-31,2,1138
127,2019-09-01,2,4587
128,2019-09-02,2,5184
129,2019-09-03,2,4384
130,2019-09-04,2,3962
131,2019-09-05,2,3634
132,2019-09-06,2,3616
133,2019-09-07,2,3961
134,2019-09-08,2,3756
135,2019-09-09,2,4232
136,2019-09-10,2,6441
137,2019-09-11,2,19178
138,2019-09-12,2,22253
139,2019-09-13,2,24989
140,2019-09-14,2,26294
141,2019-09-15,2,12334
142,2019-09-16,2,27489
143,2019-09-17,2,30900
144,2019-09-18,2,30178
145,2019-09-19,2,29986
146,2019-09-20,2,29240
147,2019-09-21,2,28930
148,2019-09-22,2,15025
149,2019-09-23,2,23496
150,2019-09-24,2,26683
151,2019-09-25,2,27367
152,2019-09-26,2,26029
153,2019-09-27,2,22387
154,2019-09-28,2,15745
155,2019-09-29,2,6316
156,2019-09-30,2,1176
157,2019-10-01,2,5838
158,2019-10-02,2,5449
159,2019-10-03,2,4509
160,2019-10-04,2,4484
161,2019-10-05,2,4257
162,2019-10-06,2,3637
163,2019-10-07,2,3772
164,2019-10-08,2,4216
165,2019-10-09,2,4475
166,2019-10-10,2,6193
167,2019-10-11,2,20756
168,2019-10-12,2,28198
169,2019-10-13,2,14957
170,2019-10-14,2,28483
171,2019-10-15,2,28292
172,2019-10-16,2,26818
173,2019-10-17,2,20158
174,2019-10-18,2,15505
175,2019-10-19,2,17385
176,2019-10-20,2,13726
177,2019-10-21,2,22036
178,2019-10-22,2,26092
179,2019-10-23,2,28893
180,2019-10-24,2,30039
